Gene names,2015 Dill LPS Late
H2-Aa,0.397346684
H2-Ab1,0.710523332
H2-D1,0.218653341
H2-D1;H2-L,0.661073321
H2-DMa,0.507156652
H2-DMb1;H2-DMb2,0.85448666
H2-K1,0.682753323
H2-T23,0.245293345
H2afx,1.26206003
H2afy,0.72100667
H2afz;H2afv,1.110549987
Hadha,0.901880012
Hadhb,0.751496678
Hba;Hba-a1,0
Hbxip,1.751566507
Hck,1.188966655
Hcls1,1.138863325
Hdac1;Gm10093,0.997206656
Hdhd2;Ier3ip1,0.52662335
Heatr7a,1.120949967
Hexa,0.848053345
Hexb,0.899656644
Hfe,0.194396682
Hgs,0.580143348
Hgsnat,1.161879993
Hint2,0.298663347
Hist1h1a,0.935893311
Hist1h1b,0.921503363
Hist1h1c,0.902229975
Hist1h1d,0.952363349
Hist1h1e,1.017853328
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,1.074370023
Hist1h3b;Hist1h3a,0.946626688
Hist1h4a,1.069156674
Hist2h2aa1;Hist1h2al;Hist2h2ac,2.2554995
Hist3h2bb;Hist3h2ba,0
Hk1,0.772426665
Hk2,0.486666677
Hm13;H13,1.036096655
Hmga1,0
Hmga2,0
Hmgb1,1.461299977
Hmgb2,1.251666653
Hmgcl,0.524236675
Hmgn2,0.262910014
Hmha1,0.831606676
Hmox1,1.082443305
Hmox2,1.146200011
Hn1l,1.878433234
Hnrnpa0,1.165500009
Hnrnpa1,1.169446662
Hnrnpa2b1,0.993496642
Hnrnpa3;Gm6793;Gm8991,0.944933335
Hnrnpab,0.750043332
Hnrnpc,1.051466676
Hnrnpd,0.913299993
Hnrnpf,1.970566432
Hnrnph1,1.559799969
Hnrnpk;Gm7964,1.313933334
Hnrnpl,1.058140034
Hnrnpm,1.433766701
Hnrnpu,1.03985334
Hp1bp3,0.903773322
Hpcal1;Hpca,0.78317665
Hps1,0.940926644
Hps3,0
Hps4,1.183666684
Hpse,1.118736666
Hras1,0.867950005
Hs2st1,0.301206665
Hsd17b10,0.876793334
Hsd17b11,1.114830023
Hsd17b12,1.155666609
Hsd17b4,0.635536667
Hsdl1,0.274906667
Hsp90aa1,1.0507
Hsp90ab1,0.956883326
Hsp90b1,1.110433316
Hspa4,1.093373309
Hspa5,1.277100015
Hspa8,0.980009982
Hspa9,0.769273341
Hspd1,0.910299975
Hspe1,0.766330009
Hspg2,0.283516656
Htatip2,1.302300012
Hvcn1,0.540243321
Hyal1,0.62397666
Hyou1,1.192066673
Icam1,1.487433357
Idh1,0.388299996
Idh2,0.745483333
Idh3a,0.689183339
Idh3b,0.884510002
Idh3g,0
Ids,0.993633349
Idua,1.090800007
Ifi204,1.161606658
Ifi205b,1.607400022
Ifi30,0.890249988
Ifit1,2.142666894
Ifitm2,0.492523291
Ifitm3,0.780539994
Ifngr1,0
Igbp1,0.488300005
Igf2r,0.72276998
Igsf6,0.914056663
Igtp,1.079586641
Il16,1.123033343
Ilk,0.105406629
Ilvbl,1.057866685
Inf2,0.831943363
Inpp5d,1.080339964
Iqgap1,0.905913331
Iqgap2,0
Irf2bp2,1.754633362
Irgm1,1.17489997
Irgm2,1.035899977
Isg15,1.112199982
Isg20,1.500366649
Ist1,1.387566707
Itch,1.690133276
Itga4,0.622623303
Itga5,0.564493369
Itga6,0.506723278
Itgam,0.500006642
Itgav,0.639223327
Itgax,0
Itgb1,0.508633367
Itgb2,0.467533347
Itgb5,0.641983334
Itm2b,0.62009333
Itsn2,0.811969993
Jak1,0.828419971
Jup,0.127243291
Kat2a,0.185966672
Kcnab2,0
Kcnk6,1.18243334
Kcnn4,1.306933356
Kctd12,1.08314666
Kdelr1,0.251183325
Kdm1a,0
Kdm3b,0
Khdrbs1,0.470050009
Khsrp,1.095479987
Kiaa0196,0.627373281
Kiaa0226;1700021K19Rik,1.185833325
Kiaa0907,1.139786669
Kiaa1033,0.519693313
Kiaa1598,0.593616665
Kiaa1671,0.307623324
Kif13b,0.585333356
Kif16b,0.61295999
Kif1a,1.861633571
Kif5b,0.852310005
Kpnb1,1.209033284
Kras,1.188499986
Krt28;Krt24,11.04126523
Krt76,6.876032017
Lamp1,1.431200006
Lamtor1,2.119500273
Lamtor2,1.599566628
Lamtor3,1.458566605
Lancl1,0
Laptm5,0.642893324
Lasp1,1.455483372
Lat2,0
Lbr,0.965889995
Lcp1,1.10020336
Lcp2,1.633299703
Ldha,0.886300017
Ldlr,0.975506656
Lgals1,1.136066688
Lgals3,1.949566867
Lgals3bp,0.803010004
Lgals3bpF6VRP8,0.804326666
Lgals8,1.464666626
Lgals9,1.571100046
Lgmn,0.962023325
Lig1,1.272166638
Lilrb3,0.536513379
Lilrb4,0.523536668
Lima1,0.951696691
Limd2,1.337366637
Lims1,0.619633307
Lin7c;Lin7a,0.385533331
Lipa,1.026096667
Lman1,1.143886658
Lman2,1.021333339
Lmbrd1,1.042940008
Lmbrd2,0.931266663
Lmna,1.061179998
Lmnb1,1.15812666
Lmnb2,1.159896642
Lnpep,0.437480049
Loh12cr1,1.33123333
Lpcat2,0
Lpl,0.70826001
Lrp1,0.412779987
Lrp1b,0.354853318
Lrpap1,1.234933308
Lrpprc,0.715290001
Lrrc25,0.60445001
Lrrc57,1.310456655
Lrrc59,1.022980006
Lrrc8c,0
Lsp1,1.308333338
Lss,1.009973338
Ly86,1.747133518
Ly9,0.606323318
Lyn,0.556359984
Lypla2,0
Lyz1,0.885613314
Lyz2,0.9498667
M6pr,0.564016664
Macf1,0.784953329
Magt1,1.386033314
Man1a1,0.745840004
Man1c1,0.518973338
Man2a1,0.327399988
Man2b1,0.83366001
Man2b2,1.013653349
Manba,0.880260002
ManbaQ8K2I4,0.245713342
Manf,0.974759985
Map1s,0.53471665
Map2k1;Map2k2,1.450899835
Map2k4,0.21179335
Map3k11,0.751719999
Map4;Mtap4,0.969376686
Mapre1,1.271499998
Marc2;Mosc2,0.825719983
Marcks,0.972826677
Marcksl1,1.680233101
Mark2,0.329200009
Matr3,1.185476693
Mavs,0.196940004
Mboat7,0
Mbp,1.10960668
Mcl1,0.335533341
