Gene names,2015 Dill Mannan Late
G3bp1,0.755023362
G3bp2,0.429336625
G6pdx,0.891543322
Gaa,1.180133371
Gabarap;Gabarapl1,0.341333351
Gabarapl2,0.726890004
Gak,1.238066764
Galc,1.201466671
Galns,0.549943366
Galnt2,0.568729966
Galnt7,0.560929953
Ganab,0.874973323
Gapdh;Gm7293;Gm6316,0.990860004
Gas7,0.63363336
Gba,1.371833334
Gbp5,0.693316666
Gclm,0
Gdap2,1.773633333
Gdi2,0.764396688
Ggh,0.949746693
Ggta1,0
Gla,0.847976654
Glb1,0.968760013
Glb1l,0
Glg1,0.420176707
Glipr1,0.961266665
Glipr2,0.693076637
Gls,0
Glt25d1,0.595103328
Gltp,1.806366385
Glud1,0.551323333
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,0.87165
Gm10119;Rps3a;Gm9000,0.778716683
Gm10126;Rps29,0.723433594
Gm10320;Sec61b,1.203316666
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,1.399700005
Gm14548,0.405049996
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.495990007
Gm17352;Rps18;Gm5321,0.864996653
Gm20390;Nme2;Nme1,0.906643346
Gm20425;Srprb,0.407633352
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.366999982
Gm20489;Il2rg,0.632023321
Gm20498;Synj2bp,0.32381335
Gm2382;Mthfs,0.634016646
Gm2a,1.018083321
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.298443347
Gm5576;Eif4a3,0.836533082
Gm6377,0
Gm8394;Psma5,1.018973313
Gm9755;Tufm,1.139433332
Gmip,0.606133329
Gmpr2,0.982996673
Gna13,0.918020024
Gnai2;Gnai1,1.24263337
Gnai3,0.873843332
Gnaq,0.84514999
Gnas,1.063023371
Gnb1,1.419500014
Gnb2,1.355033305
Gnb2l1,0.884659996
Gnb4,0.408599997
Gng12,1.362499995
Gng2,0.999266664
Gng5,1.132476675
Gns,1.08378001
Golga1,0
Golga4,0.716333324
Golga5,0
Golga7,1.288163318
Golgb1,0.586476679
Gosr1,0.177830008
Got2,0.585366636
Gp49a,0.184933321
Gpatch8,0
Gpd2,0.307223334
Gpi;Gm1840,1.3362
Gpld1,0
Gpnmb,1.169673325
Gpr107,0.582193343
Gpr108,0
