Gene names,2015 Dill IgG Early
Hps3,0.281553326
Hps4,0.473030006
Hpse,0.543563312
Hras1,1.36203333
Hs2st1,0.421366639
Hsd17b10,0.73736666
Hsd17b11,0.723263333
Hsd17b12,0.913410002
Hsd17b4,0.83802337
Hsdl1,0.278223304
Hsp90aa1,0.99661666
Hsp90ab1,0.954416643
Hsp90b1,0.92988997
Hspa4,0.678300024
Hspa5,1.003709976
Hspa8,1.254633326
Hspa9,0.744086661
Hspd1,0.886410008
Hspe1,0.998819999
Hspg2,0
Htatip2,0.806616703
Hvcn1,1.183833321
Hyal1,0
Hyou1,0.895783323
Icam1,2.464766318
Idh1,1.62944337
Idh2,0.770149977
Idh3a,0.632726664
Idh3b,0.820313355
Idh3g,0
Ids,0.75289998
Idua,0.632933334
Ifi204,1.519333314
Ifi205b,0.565966709
Ifi30,0.518933302
Ifit1,0
Ifitm2,0.812049988
Ifitm3,1.505340198
Ifngr1,1.250533361
Igbp1,0
Igf2r,1.136566688
Igsf6,2.586400591
Igtp,0.747543301
Il16,0.752836669
Ilk,1.055353318
Ilvbl,0
Inf2,1.641899793
Inpp5d,1.163843323
Iqgap1,1.3656
Iqgap2,0
Irf2bp2,0.914493351
Irgm1,0.66365666
Irgm2,1.089260026
Isg15,0.913969979
Isg20,0.446466675
Ist1,0.910966651
Itch,0.763216669
Itga4,2.271833154
Itga5,2.357033672
Itga6,2.24190027
Itgam,2.791932678
Itgav,2.094200094
Itgax,1.809963605
Itgb1,2.160733547
Itgb2,2.563166576
Itgb5,1.74729994
Itm2b,1.065856654
Itsn2,1.295620006
Jak1,2.23636668
Jup,0.539576678
Kat2a,0
Kcnab2,0
Kcnk6,0.194030008
Kcnn4,0.764533331
Kctd12,0.651159984
Kdelr1,0.830159983
Kdm1a,0
Kdm3b,0
Khdrbs1,1.671333092
Khsrp,1.119016669
Kiaa0196,0.926586667
Kiaa0226;1700021K19Rik,0.780869993
Kiaa0907,0
Kiaa1033,1.1722
Kiaa1598,0
Kiaa1671,0.439033338
Kif13b,0.229863324
Kif16b,1.4169
Kif1a,0.334666649
Kif5b,0.812259961
Kpnb1,1.215653313
Kras,1.479299985
Krt28;Krt24,2.928267074
Krt76,4.745866626
Lamp1,0.66159665
Lamtor1,0.648969992
Lamtor2,0.619640004
Lamtor3,0.607969995
Lancl1,0
Laptm5,0.491243326
Lasp1,0.993956662
Lat2,3.56093341
Lbr,1.380333351
Lcp1,0.825583346
Lcp2,1.241366659
Ldha,0.773703344
Ldlr,1.335700031
Lgals1,0.845443325
Lgals3,0.849516669
Lgals3bp,0.535959981
Lgals3bpF6VRP8,0.456146626
Lgals8,0.845819994
Lgals9,0.775480026
Lgmn,0.591583284
Lig1,0.702930009
Lilrb3,2.412700359
Lilrb4,1.873799968
Lima1,0.513966657
Limd2,0.677949996
Lims1,0.473366659
Lin7c;Lin7a,0.179506663
Lipa,0.639363322
Lman1,0.776176659
Lman2,0.885640015
Lmbrd1,0.589769958
Lmbrd2,0.505019989
Lmna,1.673866859
Lmnb1,1.419999964
Lmnb2,1.522400063
Lnpep,1.341966628
Loh12cr1,0.738570036
Lpcat2,0.349599997
Lpl,1.075263318
Lrp1,1.804966635
Lrp1b,1.966199885
Lrpap1,1.032710038
Lrpprc,0
Lrrc25,2.596399819
Lrrc57,1.028413346
Lrrc59,1.079426684
Lrrc8c,0.4114
Lsp1,1.585299999
Lss,1.154573309
Ly86,0.51690336
Ly9,2.622700738
Lyn,2.38630014
Lypla2,0
Lyz1,0.293383375
Lyz2,0.529250016
M6pr,1.41866664
Macf1,0.925816663
Magt1,0.726566669
Man1a1,0.828190023
Man1c1,0.362999986
Man2a1,1.06904336
Man2b1,0.51225996
Man2b2,0.568283309
Manba,0.538199989
ManbaQ8K2I4,0.387150066
Manf,0.778846682
Map1s,0.7044667
Map2k1;Map2k2,4.805242322
Map2k4,0
Map3k11,0.910096656
Map4;Mtap4,1.704100141
Mapre1,0.289596666
Marc2;Mosc2,0.257816678
Marcks,0.451063346
Marcksl1,0.459819942
Mark2,1.383833297
Matr3,1.661533543
Mavs,0
Mboat7,0
Mbp,0.962839927
Mcl1,0.990630005
Mcoln1,0.331819991
Mcoln2,0.712233347
Mdh1,0.700950012
Mdh2,0.888349987
Me2,0
Mef2bnb;2310045N01Rik,0
Mesdc2,0
Mettl3,0
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.460853338
Mfge8,0.894056674
Mfsd1,0.543993399
Mfsd12,0.40498667
Mfsd7,0
Mfsd8,0.527650022
Mgat1,0
Mgp,1.469580222
Mia3,0.617466657
Mic1,0.596963334
Milr1,2.966432859
Mki67,1.555800179
Mlec,0.924183353
Mlst8,0
Mob1b;Mob1a,0.171999992
Mob4,1.488346441
Mon1a,0.641973342
Mon1b,0.634143338
Mpdu1,0
Mpeg1,0.536313323
Mpo,0.679193346
Mpp1,1.119196702
Mrc1,1.306899989
Ms4a4c,1.145043294
Msn,2.084333236
Msr1,1.923333348
Msra,0
Mtatp8;mt-Atp8,1.080446677
Mtch2,0.297393351
Mtco1;mt-Co1,0.637266664
Mtco2;mt-Co2,1.279873392
Mtdh,0.83499666
Mtss1,1.384466671
Mvp,0.842329995
Myadm,2.373700208
Myh14,1.129809998
Myh9,1.69798657
Myl12a;Myl12b;Myl9,1.911399817
Myl3;Myl1,1.56450013
Myl6,1.831333405
Myo1c,2.577400007
Myo1e,1.370933264
Myo1f,1.410166674
Myo1g,2.811400579
Myo5a,1.567399953
Myof,1.972333367
Naaa,0.436890015
Naca,0.794406652
Naga,0.691906708
Naglu,0.531433316
Nagpa,1.002696708
Nap1l1,0.361833327
Napa,0.958506664
Napg,0.877106665
Napsa,0.520646701
Nceh1,0.910136673
Ncf1,0.628256672
Ncf2,0.292476679
Nckap1l,1.881766601
Ncl,2.683266807
Ncoa3,0.41095998
Ncor1,1.207866665
Ncstn,0.71715667
Nde1;Ndel1,0.219633344
Ndufa10,0
Ndufa4,0.886270009
Ndufa6,0.405366648
Ndufc2,0
Ndufs1,0.854190028
Ndufs2,0
Ndufs3,0
Ndufv1,0
Ndufv2,0
Neb,1.786393254
Necap2,0.352833351
Nek2,1.548950092
Neu1,0.53289667
Nfam1,2.125800154
Nfatc2ip,0.317803344
Nhlrc3,0.55431667
Nhp2l1,0
Nhsl2,0.352466664
Nin,1.066013361
Nipsnap3b,0.513096684
Nisch,0.445333331
Nmt1;Nmt2,0
Nob1,1.136090005
Nomo1,0.507100007
Nono,1.163999985
Npc1,0.500713296
Npc2,0.565163332
Npm1,2.077566842
Nptn,1.712033434
Nrp1,2.093700088
Nrp2,1.705233297
Nsdhl,0.916149984
Nsf,0.93775666
Nucb1,0.877809983
Nucb2,0.979030012
Nudc,0.957643358
Numa1,1.35183338
Numb,1.381700018
Numbl,0.356929944
Nup54,1.316000129
Nup62,1.47296671
Nutf2,0
Oas1a;Oas1g,0.870316662
Oas3,1.819166856
Oat,0.90979996
Ogdh,0.693603308
ORF3,0
Osbp,0.20808333
Osbpl11,0.566490014
Osbpl1a,0.71093666
Osbpl6,0
Osbpl8,1.163023357
Osbpl9,0.56058334
Ostf1,0.707653327
Ostm1,0.579400009
Otud7a,0
Oxct1,0.657313293
P2rx4,0.344449945
P2rx7,1.549900046
P33monox;4833439L19Rik,0
P4hb,0.993709998
Pa2g4,1.310983291
Pabpc1;Pabpc6,1.426733363
Paics,0.711766694
Paip1,0
Pak2,0.387333315
Parp1,1.600866634
Parp14,0
Pcbp1,1.132663308
Pcbp2;Pcbp3,0.900500012
Pcdhb2,0
Pck2,0.831533316
Pcmt1,0.683756679
Pcna,1.847366919
Pcnp,0.568776627
Pcyox1,0.719746653
Pcyox1l,0.379366686
Pcyt1a,1.477066682
Pdcd6,0.820700019
Pdcd6ip,0.941543335
