Gene names,2015 Dill IgG Late
M6pr,0.580479993
Macf1,0.876716653
Magt1,0.25865
Man1a1,1.015500024
Man1c1,0.428366659
Man2a1,0.701213287
Man2b1,0.873033333
Man2b2,1.026626667
Manba,0.885480001
ManbaQ8K2I4,0.666119981
Manf,0.713706684
Map1s,0.722499967
Map2k1;Map2k2,1.748466354
Map2k4,0.506300003
Map3k11,0.667226705
Map4;Mtap4,0.927103331
Mapre1,1.059876706
Marc2;Mosc2,1.030666669
Marcks,1.067510014
Marcksl1,1.507633355
Mark2,0.645966657
Matr3,1.131706674
Mavs,0.818266681
Mboat7,0.266036666
Mbp,1.245290005
Mcl1,1.536566632
Mcoln1,0.245356653
Mcoln2,0.764859983
Mdh1,0.867793322
Mdh2,1.005003314
Me2,0
Mef2bnb;2310045N01Rik,0.519200004
Mesdc2,0.129166647
Mettl3,0.65660002
Mettl7a1;Mettl7a2-Higd1c;Ubie;Mettl7a2;Mettl7a3;AB099516,0.537776668
Mfge8,1.043273327
Mfsd1,1.224633348
Mfsd12,0.983346687
Mfsd7,0
Mfsd8,0.958269995
Mgat1,0.496600011
Mgp,0.199703331
Mia3,1.24422002
Mic1,1.045966668
Milr1,0.359833326
Mki67,1.528756747
Mlec,0.922406703
Mlst8,0.269533332
Mob1b;Mob1a,1.216813361
Mob4,0.78553335
Mon1a,1.124933328
Mon1b,1.247900004
Mpdu1,0
Mpeg1,0.510456622
Mpo,0.77266002
Mpp1,1.494800033
Mrc1,0.612226687
Ms4a4c,0.626046633
Msn,0.849933329
Msr1,0.487406751
Msra,0.390566658
Mtatp8;mt-Atp8,1.425499975
Mtch2,0.718656649
Mtco1;mt-Co1,0.692250023
Mtco2;mt-Co2,1.312099997
Mtdh,0.380736671
Mtss1,0.983229991
Mvp,0.763276689
Myadm,1.271033335
Myh14,0.443240026
Myh9,0.672463326
Myl12a;Myl12b;Myl9,0.802923344
Myl3;Myl1,0.979499967
Myl6,0.984093317
Myo1c,0
Myo1e,0.853463325
Myo1f,1.067033325
Myo1g,0.656563339
Myo5a,0.964813329
Myof,0.576830013
Naaa,1.371200019
Naca,1.355033304
Naga,1.219366683
Naglu,0.927596646
Nagpa,0.728143332
Nap1l1,0.974099998
Napa,1.035240013
Napg,1.128863319
Napsa,1.687666664
Nceh1,0.970206655
Ncf1,0.971819988
Ncf2,0.367066663
Nckap1l,1.006009996
Ncl,1.385926842
Ncoa3,1.048526676
Ncor1,1.229069783
Ncstn,0.599523284
Nde1;Ndel1,1.359700008
Ndufa10,0
Ndufa4,0.936556685
Ndufa6,0.587266684
Ndufc2,0
Ndufs1,1.176299972
Ndufs2,0.236306661
Ndufs3,0.464533324
Ndufv1,0.262790003
Ndufv2,0
Neb,0.21016667
Necap2,1.163236665
Nek2,0.15992335
Neu1,0.990106658
Nfam1,0
Nfatc2ip,1.282633328
Nhlrc3,0.495876623
Nhp2l1,0.694566868
Nhsl2,1.36263335
Nin,0.755183359
Nipsnap3b,0.336933336
Nisch,0
Nmt1;Nmt2,0.291553329
Nob1,1.307899949
Nomo1,0.463400016
Nono,1.041266639
Npc1,1.028886671
Npc2,0.440339948
Npm1,0.733820004
Nptn,0.721486701
Nrp1,0.522169952
Nrp2,1.004089984
Nsdhl,1.00327667
Nsf,1.029970004
Nucb1,0.98272
Nucb2,1.021693336
Nudc,1.132933329
Numa1,1.154019998
Numb,0.986610024
Numbl,0.784600034
Nup54,1.553316491
Nup62,1.402700035
Nutf2,0.373833328
Oas1a;Oas1g,1.001686659
Oas3,0.892653347
Oat,0.983030023
Ogdh,0.977349994
ORF3,0
Osbp,1.831833193
Osbpl11,1.303346675
Osbpl1a,0.820753338
Osbpl6,0.08242664
Osbpl8,0.843926686
Osbpl9,1.22724335
Ostf1,1.043866678
Ostm1,1.341800026
Otud7a,1.568966446
Oxct1,0.864106702
P2rx4,1.120510002
P2rx7,0.567823338
P33monox;4833439L19Rik,0
P4hb,0.94200335
Pa2g4,0.90019329
Pabpc1;Pabpc6,0.916890015
Paics,1.265066679
Paip1,1.634306711
Pak2,0.915613304
