Gene names,2015 Dill LPS Early
Esyt1,0.981656653
Esyt2,0.966166633
Etf1,0.93399334
Etfa,0.852509969
Etfb,0.87706669
Etfdh,0
Evi2a,1.531699986
Evi2b,2.43443349
Evl,1.168969986
Ewsr1,0.744933342
Ezr,2.177900365
F13a1,0
Faf2,0
Fam108b1,0.76387333
FAM120A,0.635633338
Fam125a,0.932803353
Fam129a,0.714966653
Fam129b,1.25193332
Fam168a,1.393933349
Fam177a1,0
Fam195b,0
Fam21,1.317333326
Fam26f,0.943109983
Fam3c,0.652226664
Fam45a,1.000139988
Fam49b,1.423433279
Fam50a,0.830603333
Fam54b,1.174733382
Far1,0.670813353
Farsa,1.573199676
Farsb,1.496233542
Fbln2,0.291446665
Fcer1g,1.554233366
Fcgr1,2.285899804
Fcgr2;Fcgr2b,1.182883342
Fcgr3,0.832499997
Fcgr3P08508,1.590700021
Fcgrt,1.313733356
Fcrls,1.113863354
Fdps,0
Fen1,0.837009998
Fermt3,1.467399945
Fes,1.009470005
Fh,0.392066668
Fis1,0.544340014
Fkbp15,1.25676664
Fkbp2,0.948640013
Fkbp8,1.146013345
Flcn,0.909633368
Flna,0.883683306
Flnc,0.140696697
Flot1,0.65659334
Flot2,0.63496666
Fmnl1,1.499166646
Fn1,1.008973331
Fnbp1,0
Folr2,2.035499774
Frmd8,0.661286672
FRRS1,0.718663347
Fth1,0.70138001
Ftl1;Ftl2,0.772310006
Fuca1,0.693510037
Fuca2,0.740283331
Fus;Taf15,0
Fxyd5,1.006133337
Fyb,1.174146665
Fyco1,0
Fyn,1.392533327
G3bp1,1.518999983
G3bp2,1.215006647
G6pdx,1.068366667
Gaa,0.771380012
Gabarap;Gabarapl1,0
Gabarapl2,0.581423315
Gak,0.243469996
Galc,0.561946657
Galns,0.79993667
Galnt2,0.755376655
Galnt7,0.822523316
Ganab,0.987506662
Gapdh;Gm7293;Gm6316,1.512966676
Gas7,2.165033498
Gba,0.75266001
Gbp5,0.598169978
Gclm,0
Gdap2,0.531526672
Gdi2,0.967046665
Ggh,0.772243326
Ggta1,0.209559989
Gla,0.807513326
Glb1,0.702063285
Glb1l,0
Glg1,0.563940037
Glipr1,1.849600129
Glipr2,1.334106709
Gls,0
Glt25d1,1.143566657
Gltp,0
Glud1,0.903413289
Gm10036;Rpl11;Gm10288;Gm5093;Gm7589,1.858700269
Gm10119;Rps3a;Gm9000,1.441933303
Gm10126;Rps29,0
Gm10320;Sec61b,0.463556661
Gm13646;Hist1h2bf;Hist1h2bb;Hist1h2bk;Hist1h2bp,0.974036698
Gm14548,2.120433275
Gm16477;Rpl7a;Gm5619;Rpl7a-ps10;Rpl7a-ps5;Rpl7a-ps3;Gm17415;Gm4978;Gm5459,0.97518
Gm17352;Rps18;Gm5321,1.705966587
Gm20390;Nme2;Nme1,1.016256674
Gm20425;Srprb,0.896456676
Gm20431;Ube2v1;Gm8325;Ube2v2;Gm5830;Gm10088,0.906799984
Gm20489;Il2rg,1.326899987
Gm20498;Synj2bp,0.392503338
Gm2382;Mthfs,0.292983333
Gm2a,0.819726662
Gm5431;OTTMUSG00000005540;9930111J21Rik,0.419666643
Gm5576;Eif4a3,0
Gm6377,0
Gm8394;Psma5,0.703773347
Gm9755;Tufm,0.87164664
Gmip,1.142966682
Gmpr2,0.868790024
Gna13,1.840933348
Gnai2;Gnai1,1.287533309
Gnai3,1.275833282
Gnaq,2.137633417
Gnas,2.015266732
Gnb1,1.387633345
Gnb2,1.428133348
Gnb2l1,1.165486655
Gnb4,0
Gng12,1.349433353
Gng2,1.012813311
Gng5,1.226043341
Gns,0.749530005
Golga1,0.411563349
Golga4,0.774319981
Golga5,0
Golga7,1.474799962
Golgb1,0.107113298
Gosr1,0.179593321
Got2,0.842086663
Gp49a,1.340566582
Gpatch8,0.241009998
Gpd2,0
Gpi;Gm1840,1.505833306
Gpld1,0
Gpnmb,0.801709987
Gpr107,0.535669998
Gpr108,0.324889999
Gpr137b,0.5854
Gpsm3,0.494333334
Gpx1,0.694566685
Gpx4,1.02393334
Grap2,0
Grb2,1.516533346
Grn,0.545196674
Grpel1,0
Gsdmdc1,0
Gsn,1.354233368
Gstk1,0.485320018
Gstm1,1.16405332
Gtf2f1,0.443600009
Gtf2f2,1.363733299
Gusb,0.509123327
Gvin1,1.003186672
H1f0,0.477633335
H2-Aa,0.530113348
H2-Ab1,1.088856684
H2-D1,0.907633334
H2-D1;H2-L,1.664866665
H2-DMa,0.326803328
H2-DMb1;H2-DMb2,0.937983336
H2-K1,1.574200025
H2-T23,1.496566623
H2afx,0.787550031
H2afy,0.679176657
H2afz;H2afv,0.821470025
Hadha,0.746546705
Hadhb,0.789653349
Hba;Hba-a1,1.712099814
Hbxip,0.782366668
Hck,1.194406704
Hcls1,1.161790007
Hdac1;Gm10093,0.676443301
Hdhd2;Ier3ip1,0.276323334
Heatr7a,0.573713314
Hexa,0.80681333
Hexb,0.867109989
Hfe,1.361299992
Hgs,1.542833297
Hgsnat,0.547620017
Hint2,0
Hist1h1a,0.703290008
Hist1h1b,0.495330007
Hist1h1c,0.647746647
Hist1h1d,0.534013341
Hist1h1e,0.609273322
Hist1h2af;Hist1h2ab;Hist3h2a;Hist1h2ah,0.786056715
Hist1h3b;Hist1h3a,0.836050044
Hist1h4a,0.932180037
Hist2h2aa1;Hist1h2al;Hist2h2ac,0.815159972
Hist3h2bb;Hist3h2ba,0
Hk1,0.644200037
Hk2,0
Hm13;H13,0.448939996
Hmga1,0
Hmga2,0.206670001
Hmgb1,0.936026681
Hmgb2,1.214043304
Hmgcl,0.91481
Hmgn2,0
Hmha1,0.901076675
Hmox1,0.806656692
Hmox2,0.736743318
Hn1l,0
Hnrnpa0,1.059943305
Hnrnpa1,0.968239939
Hnrnpa2b1,1.155503498
Hnrnpa3;Gm6793;Gm8991,1.027186689
Hnrnpab,0.922950035
Hnrnpc,0.916066653
Hnrnpd,0
Hnrnpf,0.88330004
Hnrnph1,1.247023356
Hnrnpk;Gm7964,1.155676609
Hnrnpl,0.81689667
Hnrnpm,0.971489983
Hnrnpu,0.782323353
Hp1bp3,0.773206669
Hpcal1;Hpca,1.261133393
Hps1,0
Hps3,0
Hps4,0.80013332
Hpse,0.650876672
Hras1,1.254033307
Hs2st1,0
Hsd17b10,0.898300004
Hsd17b11,0.730640017
Hsd17b12,0.824253297
Hsd17b4,0.648630006
Hsdl1,0.407406662
Hsp90aa1,1.094266633
Hsp90ab1,1.109000007
Hsp90b1,0.968800006
Hspa4,0.835610011
Hspa5,1.066046655
Hspa8,1.128729991
Hspa9,0.881553316
Hspd1,0.911546659
Hspe1,1.254333342
Hspg2,0
Htatip2,0.960363338
Hvcn1,1.492066654
Hyal1,0.229656671
Hyou1,1.056666665
Icam1,2.090966387
Idh1,0.887506684
Idh2,0.878480015
Idh3a,0.755070018
Idh3b,0.483509988
Idh3g,0
Ids,0.623806685
Idua,0.664766655
Ifi204,1.086896696
Ifi205b,0.697286668
Ifi30,0.879113342
Ifit1,0
Ifitm2,1.484166604
Ifitm3,2.334966557
Ifngr1,0.870033335
Igbp1,0
Igf2r,1.173233353
Igsf6,1.929366862
Igtp,0.698919977
Il16,0.742280015
Ilk,0.737830011
Ilvbl,0
Inf2,1.901403043
Inpp5d,1.029280006
Iqgap1,1.134433332
Iqgap2,0
Irf2bp2,1.390133355
Irgm1,0.807346676
Irgm2,1.052520006
Isg15,0.821620011
Isg20,1.236220184
Ist1,0.964226658
Itch,0.644016679
Itga4,2.058700163
Itga5,1.829233253
Itga6,1.708033315
Itgam,2.197699958
Itgav,1.872200026
Itgax,3.026700391
Itgb1,1.698966687
Itgb2,1.856733213
Itgb5,1.658766739
Itm2b,0.966656656
Itsn2,1.205386728
Jak1,2.018566538
Jup,0.299849966
Kat2a,0
Kcnab2,0.475666688
Kcnk6,0.588343331
Kcnn4,1.051333367
Kctd12,0.345509986
Kdelr1,0.506356682
Kdm1a,0
Kdm3b,0
Khdrbs1,0.562233309
Khsrp,1.171643351
Kiaa0196,0.96640998
Kiaa0226;1700021K19Rik,0.621939991
Kiaa0907,0
Kiaa1033,1.075026672
Kiaa1598,0.485999993
Kiaa1671,0
Kif13b,0
Kif16b,1.412600012
Kif1a,0
Kif5b,0.800363306
Kpnb1,1.355566688
Kras,1.416366701
Krt28;Krt24,1.164199968
Krt76,4.85716674
Lamp1,0.773930007
Lamtor1,0.934936689
Lamtor2,0.726779995
Lamtor3,0.656690004
Lancl1,0
Laptm5,0.704156649
Lasp1,1.205533317
Lat2,2.525766824
Lbr,0.722146668
Lcp1,0.917926675
Lcp2,1.139076629
Ldha,0.986580034
Ldlr,1.086809996
Lgals1,1.077733318
Lgals3,1.05230668
Lgals3bp,0.830500006
Lgals3bpF6VRP8,0.629883325
Lgals8,0.798993335
Lgals9,0.94009663
Lgmn,0.669920023
Lig1,0.930483325
Lilrb3,2.034866665
Lilrb4,1.815766679
Lima1,0.81989999
Limd2,0.750193293
Lims1,0.502250026
Lin7c;Lin7a,0.569363333
Lipa,0.718953369
Lman1,0.763459984
Lman2,0.87093669
Lmbrd1,0.715070026
Lmbrd2,0.616833344
Lmna,0.911526698
Lmnb1,0.92442997
Lmnb2,0.944266703
Lnpep,1.45466671
Loh12cr1,0.595836693
Lpcat2,0.740599996
Lpl,1.311766705
